trial,status,error_type,latency_seconds,prompt_tokens,completion_tokens,cost_usd,gds,pass_1,subtask_results,fault_fired
0,success,,4.543724045999625,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
1,success,,2.1414573170004587,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
2,success,,2.5504466419988603,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
3,success,,2.7445561040003668,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
4,success,,2.748620155998651,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
5,success,,2.537879276998865,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
6,success,,3.4674685390000377,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
7,success,,3.788281585000732,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
8,success,,2.3062816560013744,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
9,success,,4.151967519999744,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
10,success,,2.6928658899996663,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
11,success,,2.141286197000227,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
12,success,,3.372603230000095,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
13,success,,2.5044354910005495,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
14,success,,2.641628575998766,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
15,success,,3.0163160440006322,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
16,success,,3.041408601000512,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
17,success,,2.729537680001158,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
18,success,,2.7572700250002526,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
19,success,,3.164967645001525,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
20,success,,3.165520426000512,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
21,success,,2.3535398929998337,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
22,success,,3.8957648029991105,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
23,success,,2.3187648189996253,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
24,success,,2.8002325080015,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
25,success,,2.695564456000284,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
