trial,status,error_type,latency_seconds,prompt_tokens,completion_tokens,cost_usd,gds,pass_1,subtask_results,fault_fired
0,error,RateLimitError,1.370829985000455,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
1,success,,3.104849909001132,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
2,success,,2.928057926999827,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
3,success,,3.698656962998939,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
4,success,,4.481257288000052,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
5,success,,3.575447941000675,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
6,success,,4.319800200000827,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
7,success,,2.837770737000028,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
8,success,,3.1029637479987286,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
9,success,,3.382449963999534,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
10,success,,2.4765665030008677,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
11,success,,2.9347450559998833,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
12,error,RateLimitError,1.4122930899993662,0,0,0.0,0,False,"{""pass"": {""passed"": false, ""weight"": 1.0}}",True
13,success,,2.749614799000483,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
14,success,,4.174197243999515,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",True
15,success,,4.357264690001102,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
16,success,,4.054020681998736,8,4,3.6e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
17,success,,3.3420672430002014,8,5,4.2e-06,1.0,True,"{""pass"": {""passed"": true, ""weight"": 1.0}}",False
